original_sentence   edited_sentence
Organic chemistry - Computer programming - Computer imaging	Organic chemistry - Computer programming - Computer imaging - Cookbook
Organic chemistry - Computer programming - Computer imaging - Cookbook - How to be &apos; Green&apos;	Organic chemistry - Computer programming - Computer imaging - Cookbook - How to be Environmental
The Wikimedia Free Textbook Project is a subsection of the Wikipedia set up for the cooperative development of open content textbooks of various fields and topics .	The Wikimedia Free Textbook Project is a subsection of the Wikipedia set up on July 10 , 2003 for the cooperative development of open content textbooks of various fields and topics .
Sister Wikis .	Sister Project .
Math and sciences : - Organic chemistry - Cell biology - Introductory physics - Electromagnetic Field Theory - Linear algebra - Environmental Awareness	Math and sciences : - Organic chemistry - Cell biology - Introductory physics - Electromagnetic Field Theory - Linear algebra - Environmental Awareness - Calculus
Math and sciences : - Organic chemistry - Cell biology - Introductory physics - Electromagnetic Field Theory - Linear algebra - Environmental Awareness - Calculus - Applied mathematics	Math and sciences : - Organic chemistry - Cell biology - Introductory physics - Physics - Linear algebra - Environmental Awareness - Calculus - Applied mathematics
Math and sciences : - Organic chemistry - Cell biology - Introductory physics - Physics - Linear algebra - Environmental Awareness - Calculus - Applied mathematics	Math and sciences : - Organic chemistry - Cell biology - Introductory physics - Physics - Linear algebra - Environmental Awareness - Calculus - Applied mathematics - Optics
Sciences : - Organic Chemistry - Physics - Optics - Cell Biology - Environmental Awareness	Sciences : - Organic Chemistry - Physics - Cell Biology - Environmental Awareness
Sciences : - Organic Chemistry - Physics - Cell Biology - Environmental Awareness	Sciences : - Organic Chemistry - Physics - Cell Biology - Environmental Awareness - Horticulture
Languages : - Spanish	Languages : - Spanish - Lojban
Sciences : - Organic Chemistry - Physics - Biochemistry - Cell Biology - Biology - Environmental Awareness - Horticulture	Sciences : - Organic Chemistry - Physics - Biology - Biochemistry - Cell Biology - Environmental Awareness - Horticulture
Languages : - Spanish - Lojban	Languages : - Spanish - Lojban - Japanese
